,RMS,Variance,FFT Peak,Class
0,0.039381849,0.00155066,88.87853121,human
1,0.059758132,0.003570302,126.9002782,human
2,0.032589996,0.001061995,75.95598714,human
3,0.056284337,0.003167924,116.0301227,human
4,0.047646662,0.002268116,105.4042698,human
5,0.037995498,0.001443404,92.98345837,human
6,0.034280445,0.001175086,86.72791348,human
7,0.030587468,0.00093537,71.15657213,human
8,0.034829471,0.001212723,61.118791,human
9,0.034910789,0.001218605,66.16441266,human
10,0.039381849,0.00155066,88.87853121,human
11,0.059758132,0.003570302,126.9002782,human
12,0.032589996,0.001061995,75.95598714,human
13,0.056284337,0.003167924,116.0301227,human
14,0.047646662,0.002268116,105.4042698,human
15,0.037995498,0.001443404,92.98345837,human
16,0.034280445,0.001175086,86.72791348,human
17,0.030587468,0.00093537,71.15657213,human
18,0.034829471,0.001212723,61.118791,human
19,0.034910789,0.001218605,66.16441266,human
20,0.039381849,0.00155066,88.87853121,human
21,0.059758132,0.003570302,126.9002782,human
22,0.032589996,0.001061995,75.95598714,human
23,0.056284337,0.003167924,116.0301227,human
24,0.047646662,0.002268116,105.4042698,human
25,0.037995498,0.001443404,92.98345837,human
26,0.034280445,0.001175086,86.72791348,human
27,0.030587468,0.00093537,71.15657213,human
28,0.034829471,0.001212723,61.118791,human
29,0.034910789,0.001218605,66.16441266,human
30,0.039381849,0.00155066,88.87853121,human
31,0.059758132,0.003570302,126.9002782,human
32,0.032589996,0.001061995,75.95598714,human
33,0.056284337,0.003167924,116.0301227,human
34,0.047646662,0.002268116,105.4042698,human
35,0.037995498,0.001443404,92.98345837,human
36,0.034280445,0.001175086,86.72791348,human
37,0.030587468,0.00093537,71.15657213,human
38,0.034829471,0.001212723,61.118791,human
39,0.034910789,0.001218605,66.16441266,human
40,0.039381849,0.00155066,88.87853121,human
41,0.059758132,0.003570302,126.9002782,human
42,0.032589996,0.001061995,75.95598714,human
43,0.056284337,0.003167924,116.0301227,human
44,0.047646662,0.002268116,105.4042698,human
45,0.037995498,0.001443404,92.98345837,human
46,0.034280445,0.001175086,86.72791348,human
47,0.030587468,0.00093537,71.15657213,human
48,0.034829471,0.001212723,61.118791,human
49,0.034910789,0.001218605,66.16441266,human
50,0.059758132,0.003570302,126.9002782,human
51,0.032589996,0.001061995,75.95598714,human
52,0.056284337,0.003167924,116.0301227,human
53,0.047646662,0.002268116,105.4042698,human
54,0.037995498,0.001443404,92.98345837,human
55,0.034280445,0.001175086,86.72791348,human
56,0.030587468,0.00093537,71.15657213,human
57,0.030587468,0.00093537,71.15657213,human
58,0.034829471,0.001212723,61.118791,human
59,0.034910789,0.001218605,66.16441266,human
60,0.039381849,0.00155066,88.87853121,human
61,0.059758132,0.003570302,126.9002782,human
62,0.032589996,0.001061995,75.95598714,human
63,0.056284337,0.003167924,116.0301227,human
64,0.039381849,0.00155066,88.87853121,human
65,0.059758132,0.003570302,126.9002782,human
66,0.032589996,0.001061995,75.95598714,human
67,0.056284337,0.003167924,116.0301227,human
68,0.047646662,0.002268116,105.4042698,human
69,0.037995498,0.001443404,92.98345837,human
70,0.034280445,0.001175086,86.72791348,human
71,0.030587468,0.00093537,71.15657213,human
72,0.034829471,0.001212723,61.118791,human
73,0.034910789,0.001218605,66.16441266,human
74,0.034280445,0.001175086,86.72791348,human
75,0.030587468,0.00093537,71.15657213,human
76,0.034829471,0.001212723,61.118791,human
77,0.034910789,0.001218605,66.16441266,human
78,0.039381849,0.00155066,88.87853121,human
79,0.059758132,0.003570302,126.9002782,human
80,0.032589996,0.001061995,75.95598714,human
81,0.056284337,0.003167924,116.0301227,human
82,0.047646662,0.002268116,105.4042698,human
83,0.037995498,0.001443404,92.98345837,human
84,0.032589996,0.001061995,75.95598714,human
85,0.056284337,0.003167924,116.0301227,human
86,0.047646662,0.002268116,105.4042698,human
87,0.037995498,0.001443404,92.98345837,human
88,0.034280445,0.001175086,86.72791348,human
89,0.030587468,0.00093537,71.15657213,human
90,0.034829471,0.001212723,61.118791,human
91,0.034910789,0.001218605,66.16441266,human
92,0.039381849,0.00155066,88.87853121,human
93,0.059758132,0.003570302,126.9002782,human
94,0.032589996,0.001061995,75.95598714,human
95,0.056284337,0.003167924,116.0301227,human
96,0.056284337,0.003167924,116.0301227,human
97,0.047646662,0.002268116,105.4042698,human
98,0.037995498,0.001443404,92.98345837,human
99,0.034280445,0.001175086,86.72791348,human
