Samples - Plot 0,Amplitude [V] - Plot 0
0,0.00473227
1,0.00306958
2,0.00204639
3,0.000383698
4,-0.000895294
5,-0.00268588
6,-0.00447647
7,-0.00562756
8,-0.00703445
9,-0.00818555
10,-0.00856924
11,-0.00895294
12,-0.00984824
13,-0.00997614
14,-0.010104
15,-0.00984824
16,-0.00972034
17,-0.00920874
18,-0.00754605
19,-0.00639496
20,-0.00498807
21,-0.00243008
22,-0.000383698
23,0.00127899
24,0.00345328
25,0.00588336
26,0.00754605
27,0.00972034
28,0.0122783
29,0.0145805
30,0.0167548
31,0.0188012
32,0.0202081
33,0.0212313
34,0.0213592
35,0.022894
36,0.0231497
37,0.0227661
38,0.0223824
39,0.0209755
40,0.020336
41,0.0184175
42,0.0159874
43,0.0136852
44,0.0111272
45,0.00780185
46,0.00447647
47,0.00153479
48,-0.00191849
49,-0.00498807
50,-0.00754605
51,-0.0109993
52,-0.0144526
53,-0.017778
54,-0.0196965
55,-0.0223824
56,-0.0243008
57,-0.0251961
58,-0.0257077
59,-0.0259635
60,-0.0259635
61,-0.0245566
62,-0.0235334
63,-0.0217429
64,-0.0186733
65,-0.0157316
66,-0.0129178
67,-0.00920874
68,-0.00486017
69,-0.000895294
70,0.00370908
71,0.00831345
72,0.0127899
73,0.0170106
74,0.021615
75,0.0258356
76,0.0295447
77,0.0327422
78,0.0364513
79,0.0388813
80,0.0401603
81,0.0410556
82,0.0413114
83,0.0414393
84,0.0402882
85,0.038114
86,0.0360676
87,0.0332538
88,0.0296726
89,0.0257077
90,0.0202081
91,0.0145805
92,0.00908084
93,0.00332538
94,-0.00268588
95,-0.00933664
96,-0.0147084
97,-0.0198244
98,-0.0249403
99,-0.0298005
100,-0.0344049
101,-0.0384976
102,-0.0488575
103,-0.0484738
104,-0.0479622
105,-0.0477064
106,-0.0457879
107,-0.0438694
108,-0.041823
109,-0.039265
110,-0.0353002
111,-0.0305679
112,-0.0260914
113,-0.0199523
114,-0.0131736
115,-0.00562756
116,0.00102319
117,0.00767395
118,0.0161153
119,0.0232776
120,0.03044
121,0.0374745
122,0.0433578
123,0.0487296
124,0.0542292
125,0.0585778
126,0.06088
127,0.0629264
128,0.063438
129,0.0630543
130,0.0611358
131,0.0587057
132,0.0549966
133,0.0502644
134,0.0450205
135,0.0390092
136,0.0322306
137,0.0248124
138,0.0167548
139,0.00767395
140,-0.00140689
141,-0.0107435
142,-0.0193128
143,-0.0276262
144,-0.0361955
145,-0.0436136
146,-0.0501365
147,-0.0561477
148,-0.0603684
149,-0.0642054
150,-0.0679145
151,-0.0695772
152,-0.0699608
153,-0.0688098
154,-0.0658681
155,-0.0613916
156,-0.0562756
157,-0.0503923
158,-0.0433578
159,-0.0347886
160,-0.0262193
161,-0.0166269
162,-0.00588336
163,0.00460437
164,0.01522
165,0.0254519
166,0.0353002
167,0.0454042
168,0.0548687
169,0.0638217
170,0.0711119
171,0.0775069
172,0.0827508
173,0.0885062
174,0.0961802
175,0.0945175
176,0.092599
177,0.0896573
178,0.0850529
179,0.0794254
180,0.0720072
181,0.0644612
182,0.0556361
183,0.0452763
184,0.0337654
185,0.0218708
186,0.00959244
187,-0.00319748
188,-0.0163711
189,-0.029161
190,-0.0429741
191,-0.0601126
192,-0.0681703
193,-0.0759721
194,-0.0832624
195,-0.0895294
196,-0.0947733
197,-0.0983545
198,-0.100401
199,-0.101552
200,-0.100017
201,-0.0963081
202,-0.0914479
203,-0.0845414
204,-0.0754605
205,-0.0653565
206,-0.054485
207,-0.0424625
208,-0.0285215
209,-0.0138131
210,0.000639496
211,0.0157316
212,0.0306958
213,0.0452763
214,0.0589615
215,0.0721351
216,0.0846692
217,0.102703
218,0.110505
219,0.116772
220,0.120609
221,0.123423
222,0.124574
223,0.124318
224,0.122272
225,0.118179
226,0.111784
227,0.103598
228,0.0929827
229,0.0808323
230,0.0675308
231,0.0521829
232,0.0361955
233,0.0200802
234,0.00294168
235,-0.0145805
236,-0.0321027
237,-0.0535898
238,-0.0708561
239,-0.0835182
240,-0.0957965
241,-0.10718
242,-0.117667
243,-0.125981
244,-0.132376
245,-0.136724
246,-0.137747
247,-0.137236
248,-0.134422
249,-0.128155
250,-0.120481
251,-0.110377
252,-0.0980987
253,-0.0831345
254,-0.0665076
255,-0.0493691
256,-0.0308237
257,-0.0109993
258,0.00869714
259,0.0276262
260,0.0475785
261,0.067275
262,0.0859482
263,0.109226
264,0.122272
265,0.13455
266,0.145166
267,0.153607
268,0.160002
269,0.163711
270,0.16499
271,0.164095
272,0.160769
273,0.153607
274,0.144014
275,0.131736
276,0.117284
277,0.100145
278,0.0814718
279,0.0615195
280,0.0397766
281,0.0175222
282,-0.00486017
283,-0.0280099
284,-0.0555082
285,-0.0787859
286,-0.0969476
287,-0.114853
288,-0.130713
289,-0.145166
290,-0.158339
291,-0.169594
292,-0.177396
293,-0.181617
294,-0.183024
295,-0.181361
296,-0.176245
297,-0.168187
