RMS,Variance,FFT Peak,Class
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.039381849,0.00155066,88.87853121,human
0.059758132,0.003570302,126.9002782,human
0.032589996,0.001061995,75.95598714,human
0.056284337,0.003167924,116.0301227,human
0.047646662,0.002268116,105.4042698,human
0.037995498,0.001443404,92.98345837,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.034280445,0.001175086,86.72791348,human
0.030587468,0.00093537,71.15657213,human
0.034829471,0.001212723,61.118791,human
0.034910789,0.001218605,66.16441266,human
0.039381849,0.00155066,88.87853121,human
