1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
-0.0213742,-0.0235405,-0.0232517,-0.022674,-0.0219519,-0.0248403,-0.022674,-0.021663,-0.0238293,-0.0228184,-0.0231072,-0.0262845,-0.0231072,-0.021663,-0.0223851,-0.0233961,-0.0228184,-0.0206521,-0.0222407,-0.0232517,-0.049825,-0.0452035,-0.047081,-0.0469366,-0.0505471,-0.0493917,-0.0506915,-0.0486696,-0.0509803,-0.0255624,-0.0499694,-0.0480919,-0.049825,-0.0482364,-0.0486696,-0.049825,-0.0517024,-0.0505471,-0.0489585,-0.0495361,-0.0596456,-0.0657112,-0.0268622,-0.0346609,-0.0261401,-0.0420263,-0.0801532,-0.0304727,-0.0163195,-0.0307615,-0.0382714,-0.0317725,-0.0703327,-0.0561795,-0.0433261,-0.0502582,-0.0466477,-0.0482364,-0.0340832,-0.0345164,-0.00375493,-0.0233961,-0.038849,-0.0541576,-0.021663,-0.015453,-0.0577681,-0.0158862,-0.0124201,-0.0329278,-0.0329278,-0.0304727,-0.0472254,-0.0472254,-0.032639,-0.0277287,-0.0466477,-0.0329278,-0.0306171,0.00678775,-0.0333611,-0.029895,-0.0369716,-0.0280175,-0.0314836,-0.0303282,-0.034372,-0.0259956,-0.0349497,-0.0311948,-0.027151,-0.0378381,-0.0306171,-0.0303282,-0.0310504,-0.0274398,-0.0301838,-0.0333611,-0.034372,-0.0337943,-0.0262845,-0.0192079,-0.0350941,-0.0255624,-0.0196412,-0.0267177,-0.0333611,-0.0268622,-0.0246959,-0.0400044,-0.0350941,-0.0342276,-0.0322057,-0.0363939,-0.0280175,-0.0337943,-0.0348053,-0.0280175,-0.0349497,-0.0340832
-0.0233961,-0.0261401,-0.0246959,-0.0245514,-0.0242626,-0.0270066,-0.0255624,-0.0241182,-0.0262845,-0.024407,-0.025418,-0.0285952,-0.0249847,-0.0246959,-0.0245514,-0.0251291,-0.0245514,-0.0222407,-0.0245514,-0.0249847,-0.0548797,-0.0447703,-0.0511248,-0.0504027,-0.0548797,-0.0522801,-0.0531466,-0.051558,-0.054302,-0.0270066,-0.0532911,-0.051558,-0.0531466,-0.0512692,-0.0545909,-0.0537243,-0.0550241,-0.0544464,-0.051558,-0.052569,-0.0564683,-0.0713436,-0.028884,-0.0340832,-0.0283064,-0.0408709,-0.0794311,-0.0311948,-0.0163195,-0.0365383,-0.0418819,-0.027151,-0.0661445,-0.0558906,-0.041593,-0.0493917,-0.0428928,-0.0433261,-0.0310504,-0.029895,-0.0028884,-0.0207965,-0.03986,-0.0550241,-0.0238293,-0.0118425,-0.058779,-0.015453,-0.0125646,-0.0335055,-0.0335055,-0.0306171,-0.0450591,-0.0450591,-0.0309059,-0.0265733,-0.0462145,-0.029895,-0.0320613,0.00505471,-0.0339388,-0.0294617,-0.0356718,-0.0277287,-0.0311948,-0.0296061,-0.0329278,-0.025418,-0.0332167,-0.0314836,-0.0270066,-0.0365383,-0.0304727,-0.0301838,-0.0309059,-0.0275843,-0.0296061,-0.031628,-0.0330722,-0.0330722,-0.0268622,-0.0197856,-0.0348053,-0.0259956,-0.0197856,-0.0272954,-0.032639,-0.0277287,-0.0252735,-0.0401488,-0.0345164,-0.0335055,-0.0324946,-0.035383,-0.0281619,-0.0335055,-0.0348053,-0.0281619,-0.0348053,-0.0340832
-0.0251291,-0.0278731,-0.0267177,-0.0262845,-0.0261401,-0.0287396,-0.0277287,-0.0258512,-0.0285952,-0.0268622,-0.0278731,-0.0300394,-0.0270066,-0.0272954,-0.027151,-0.0275843,-0.027151,-0.0242626,-0.0268622,-0.0270066,-0.0592123,-0.0450591,-0.0541576,-0.054302,-0.0576237,-0.0541576,-0.0569016,-0.054302,-0.0582014,-0.0294617,-0.0557462,-0.0545909,-0.0560351,-0.0534355,-0.0593567,-0.0554574,-0.0574793,-0.0567572,-0.0538687,-0.0545909,-0.052569,-0.0763983,-0.029895,-0.0333611,-0.0294617,-0.0397156,-0.0778425,-0.0306171,-0.0167527,-0.0421707,-0.0447703,-0.0229628,-0.0603677,-0.0545909,-0.0381269,-0.0472254,-0.0392823,-0.0391379,-0.0270066,-0.0251291,-0.00173304,-0.0180525,-0.0408709,-0.0547353,-0.0245514,-0.00938732,-0.0602232,-0.0147309,-0.0121313,-0.0339388,-0.0339388,-0.0309059,-0.0434705,-0.0434705,-0.028884,-0.0249847,-0.0447703,-0.0275843,-0.0322057,0.00375493,-0.0333611,-0.028884,-0.0342276,-0.0283064,-0.0304727,-0.028884,-0.0310504,-0.0255624,-0.031628,-0.0303282,-0.0265733,-0.0346609,-0.0304727,-0.0293173,-0.0306171,-0.0275843,-0.0293173,-0.0294617,-0.0306171,-0.0322057,-0.0275843,-0.0209409,-0.0339388,-0.0261401,-0.0203633,-0.0274398,-0.0322057,-0.0275843,-0.0259956,-0.0397156,-0.0339388,-0.0329278,-0.0313392,-0.0337943,-0.0283064,-0.0329278,-0.0348053,-0.0285952,-0.0337943,-0.0337943
-0.0274398,-0.0297506,-0.0278731,-0.0290285,-0.0285952,-0.0306171,-0.029895,-0.0277287,-0.0310504,-0.0280175,-0.0300394,-0.0322057,-0.0280175,-0.0293173,-0.0285952,-0.0293173,-0.0290285,-0.0262845,-0.0283064,-0.0284508,-0.062534,-0.0532911,-0.0560351,-0.0556018,-0.0595011,-0.0558906,-0.058779,-0.0560351,-0.0609453,-0.0311948,-0.0584902,-0.0573348,-0.0579125,-0.0561795,-0.0622451,-0.0561795,-0.0599344,-0.0583458,-0.0548797,-0.0560351,-0.0472254,-0.0804421,-0.0311948,-0.0319169,-0.0303282,-0.0375493,-0.0752429,-0.0306171,-0.0179081,-0.0473698,-0.0472254,-0.0187746,-0.0530022,-0.0530022,-0.0348053,-0.0430372,-0.0350941,-0.0336499,-0.0229628,-0.0202188,-0.000577681,-0.0147309,-0.0410153,-0.054302,-0.0257068,-0.00765427,-0.0603677,-0.0145864,-0.0119869,-0.0339388,-0.0339388,-0.0313392,-0.0411598,-0.0411598,-0.0265733,-0.0233961,-0.0428928,-0.0246959,-0.0335055,0.0021663,-0.0323501,-0.0281619,-0.0320613,-0.0274398,-0.0303282,-0.0278731,-0.0291729,-0.0248403,-0.0294617,-0.0300394,-0.0267177,-0.0323501,-0.028884,-0.0290285,-0.0294617,-0.0268622,-0.028884,-0.0277287,-0.0291729,-0.031628,-0.0277287,-0.0210854,-0.032639,-0.0262845,-0.0203633,-0.0274398,-0.0313392,-0.0275843,-0.0261401,-0.0385602,-0.0324946,-0.0323501,-0.0303282,-0.0323501,-0.0285952,-0.0320613,-0.0333611,-0.0281619,-0.032639,-0.0322057
-0.0291729,-0.0317725,-0.0297506,-0.0306171,-0.0300394,-0.0327834,-0.0320613,-0.0297506,-0.0327834,-0.0294617,-0.031628,-0.0345164,-0.0300394,-0.0311948,-0.0304727,-0.0307615,-0.0309059,-0.0281619,-0.0296061,-0.0303282,-0.0649891,-0.0583458,-0.0577681,-0.0564683,-0.0609453,-0.0566127,-0.0586346,-0.0574793,-0.0622451,-0.0329278,-0.0583458,-0.0589235,-0.0596456,-0.0579125,-0.0632561,-0.0564683,-0.0608009,-0.0596456,-0.0551685,-0.0563239,-0.0420263,-0.0837637,-0.0324946,-0.0301838,-0.0311948,-0.0345164,-0.0713436,-0.0301838,-0.0177637,-0.0521357,-0.0499694,-0.0151641,-0.045348,-0.0512692,-0.0311948,-0.0387046,-0.0303282,-0.0280175,-0.0190635,-0.0161751,0.000577681,-0.0106871,-0.0410153,-0.0540132,-0.0274398,-0.00476587,-0.0599344,-0.014442,-0.0122757,-0.0339388,-0.0339388,-0.0310504,-0.0385602,-0.0385602,-0.024407,-0.0229628,-0.03986,-0.021663,-0.0339388,0.000722101,-0.0309059,-0.0270066,-0.0294617,-0.0264289,-0.0290285,-0.0265733,-0.0270066,-0.0241182,-0.0277287,-0.0296061,-0.0252735,-0.0303282,-0.0278731,-0.027151,-0.0283064,-0.0265733,-0.0281619,-0.0264289,-0.0268622,-0.0309059,-0.0278731,-0.0219519,-0.0311948,-0.0264289,-0.0210854,-0.0274398,-0.0296061,-0.0275843,-0.0255624,-0.0368272,-0.0309059,-0.0306171,-0.0285952,-0.0311948,-0.0277287,-0.0307615,-0.032639,-0.0278731,-0.0320613,-0.0301838
-0.0309059,-0.0342276,-0.0317725,-0.0317725,-0.0319169,-0.0335055,-0.0333611,-0.0307615,-0.0336499,-0.0313392,-0.0327834,-0.0361051,-0.0323501,-0.032639,-0.0317725,-0.0329278,-0.0317725,-0.0300394,-0.0313392,-0.0320613,-0.0654224,-0.0608009,-0.0584902,-0.0561795,-0.061523,-0.0558906,-0.0582014,-0.0574793,-0.0628228,-0.0345164,-0.0586346,-0.05979,-0.0606565,-0.0596456,-0.0683108,-0.0573348,-0.0609453,-0.05979,-0.0545909,-0.0564683,-0.0368272,-0.08593,-0.0317725,-0.028884,-0.0329278,-0.0314836,-0.0668666,-0.0293173,-0.0179081,-0.0566127,-0.0518469,-0.0111204,-0.0372604,-0.0485252,-0.0265733,-0.0346609,-0.0255624,-0.0213742,-0.0151641,-0.0115536,0.000866521,-0.00693217,-0.0418819,-0.0530022,-0.0281619,-0.00245514,-0.0582014,-0.0137199,-0.0131422,-0.0335055,-0.0335055,-0.0307615,-0.0352385,-0.0352385,-0.0220963,-0.0219519,-0.0366827,-0.0186302,-0.032639,-0.00173304,-0.0304727,-0.0261401,-0.0268622,-0.025418,-0.0277287,-0.0252735,-0.0248403,-0.0232517,-0.0249847,-0.0277287,-0.0239738,-0.0277287,-0.027151,-0.0251291,-0.0275843,-0.0255624,-0.0272954,-0.0242626,-0.0249847,-0.0293173,-0.0262845,-0.0223851,-0.0291729,-0.0259956,-0.0213742,-0.0272954,-0.0277287,-0.0272954,-0.0257068,-0.0352385,-0.028884,-0.028884,-0.0264289,-0.0293173,-0.0265733,-0.0293173,-0.031628,-0.0272954,-0.0306171,-0.0283064
-0.0324946,-0.0348053,-0.0330722,-0.0330722,-0.0327834,-0.0342276,-0.0346609,-0.032639,-0.035383,-0.0322057,-0.0339388,-0.0369716,-0.0342276,-0.0330722,-0.0336499,-0.034372,-0.0329278,-0.0317725,-0.0319169,-0.0332167,-0.0652779,-0.0619563,-0.0574793,-0.0548797,-0.0602232,-0.055313,-0.0566127,-0.0561795,-0.0626784,-0.0356718,-0.0579125,-0.0599344,-0.0599344,-0.0583458,-0.0652779,-0.0561795,-0.0605121,-0.0583458,-0.0535799,-0.0556018,-0.0301838,-0.0872298,-0.031628,-0.027151,-0.0336499,-0.0287396,-0.061523,-0.0283064,-0.0183414,-0.0609453,-0.0527134,-0.00707659,-0.0291729,-0.0444814,-0.0218075,-0.0304727,-0.0196412,-0.0148753,-0.0101094,-0.00664333,0.000722101,-0.00389935,-0.0421707,-0.0506915,-0.0287396,0.00014442,-0.0558906,-0.014442,-0.0132867,-0.0327834,-0.0327834,-0.0307615,-0.0323501,-0.0323501,-0.01993,-0.0197856,-0.0327834,-0.0155974,-0.0324946,-0.00389935,-0.0294617,-0.0251291,-0.0236849,-0.0239738,-0.0267177,-0.0232517,-0.0215186,-0.0218075,-0.0220963,-0.0264289,-0.0228184,-0.0245514,-0.0255624,-0.0238293,-0.0258512,-0.0236849,-0.0251291,-0.0218075,-0.0220963,-0.0272954,-0.0259956,-0.0218075,-0.027151,-0.0248403,-0.0212298,-0.0262845,-0.0255624,-0.0270066,-0.0246959,-0.0332167,-0.0262845,-0.0277287,-0.0248403,-0.0272954,-0.0258512,-0.0272954,-0.029895,-0.0261401,-0.0281619,-0.0264289
-0.0340832,-0.035383,-0.0342276,-0.0333611,-0.0342276,-0.0346609,-0.0355274,-0.0345164,-0.0363939,-0.0335055,-0.034372,-0.0381269,-0.0346609,-0.0342276,-0.0337943,-0.0348053,-0.0337943,-0.0327834,-0.032639,-0.0335055,-0.0639782,-0.0603677,-0.0561795,-0.0527134,-0.0586346,-0.0535799,-0.054302,-0.0551685,-0.0605121,-0.0359606,-0.0560351,-0.058779,-0.0583458,-0.0566127,-0.0616674,-0.0538687,-0.0582014,-0.0569016,-0.0522801,-0.0540132,-0.0233961,-0.0870854,-0.0313392,-0.0252735,-0.0337943,-0.0257068,-0.0547353,-0.0277287,-0.0187746,-0.0638337,-0.0528578,-0.00361051,-0.0206521,-0.041593,-0.0174748,-0.0257068,-0.0142976,-0.00837637,-0.00505471,-0.0014442,-0.00014442,-0.0014442,-0.0410153,-0.0485252,-0.028884,0.00274398,-0.0534355,-0.0148753,-0.0134311,-0.0319169,-0.0319169,-0.0306171,-0.0291729,-0.0291729,-0.0173304,-0.0174748,-0.0287396,-0.0124201,-0.0313392,-0.00606565,-0.0277287,-0.0239738,-0.0207965,-0.0218075,-0.024407,-0.0213742,-0.0187746,-0.0205077,-0.0189191,-0.0239738,-0.0207965,-0.021663,-0.0239738,-0.0212298,-0.024407,-0.0223851,-0.0233961,-0.0192079,-0.0190635,-0.0255624,-0.025418,-0.0220963,-0.0257068,-0.024407,-0.0220963,-0.0255624,-0.0220963,-0.0261401,-0.0242626,-0.0300394,-0.0232517,-0.0248403,-0.0232517,-0.0251291,-0.0246959,-0.0251291,-0.0275843,-0.0251291,-0.0255624,-0.0242626
-0.0342276,-0.0361051,-0.0349497,-0.034372,-0.034372,-0.0350941,-0.0365383,-0.0349497,-0.0363939,-0.035383,-0.0352385,-0.0387046,-0.035383,-0.0362495,-0.0342276,-0.035383,-0.0340832,-0.0335055,-0.0339388,-0.0337943,-0.0621007,-0.0586346,-0.0544464,-0.0495361,-0.0560351,-0.0504027,-0.051558,-0.0528578,-0.0580569,-0.0363939,-0.0532911,-0.0561795,-0.0558906,-0.0544464,-0.0564683,-0.0517024,-0.0548797,-0.054302,-0.0493917,-0.0511248,-0.0167527,-0.0852079,-0.0304727,-0.0229628,-0.0337943,-0.022674,-0.0480919,-0.0259956,-0.0193523,-0.0657112,-0.0522801,0.00014442,-0.0121313,-0.0372604,-0.0135755,-0.0210854,-0.00852079,-0.00202188,-0.00014442,0.00274398,-0.00101094,0.00173304,-0.0395711,-0.0449147,-0.0296061,0.00505471,-0.0496806,-0.0137199,-0.0141532,-0.0310504,-0.0310504,-0.0293173,-0.0251291,-0.0251291,-0.0150197,-0.0150197,-0.025418,-0.0092429,-0.0310504,-0.00880963,-0.0262845,-0.0218075,-0.0184858,-0.0193523,-0.0222407,-0.0189191,-0.0153085,-0.0190635,-0.0160306,-0.0219519,-0.0189191,-0.0192079,-0.0222407,-0.0194967,-0.0225296,-0.0203633,-0.0218075,-0.0166083,-0.0170416,-0.0241182,-0.024407,-0.0222407,-0.0236849,-0.0231072,-0.0212298,-0.0245514,-0.0190635,-0.025418,-0.0235405,-0.0272954,-0.0206521,-0.021663,-0.0219519,-0.0220963,-0.0248403,-0.0229628,-0.0257068,-0.024407,-0.0231072,-0.0225296
-0.0348053,-0.0361051,-0.0346609,-0.0350941,-0.0342276,-0.0359606,-0.0362495,-0.035383,-0.0369716,-0.0350941,-0.035383,-0.0389935,-0.0349497,-0.0362495,-0.0345164,-0.0350941,-0.0356718,-0.0339388,-0.0340832,-0.0336499,-0.0592123,-0.0560351,-0.051558,-0.0454924,-0.0540132,-0.0467922,-0.0482364,-0.048814,-0.0544464,-0.0362495,-0.049825,-0.0527134,-0.0517024,-0.0514136,-0.0522801,-0.0482364,-0.0519913,-0.0502582,-0.0456368,-0.0473698,-0.00938732,-0.0823195,-0.0294617,-0.0206521,-0.0336499,-0.0192079,-0.0410153,-0.0238293,-0.0197856,-0.0667221,-0.0519913,0.00346609,-0.00346609,-0.0324946,-0.00967616,-0.0166083,-0.00361051,0.00332167,0.00476587,0.00606565,-0.00245514,0.00389935,-0.0379825,-0.0414486,-0.0300394,0.00722101,-0.0456368,-0.0132867,-0.0147309,-0.0307615,-0.0307615,-0.0287396,-0.0212298,-0.0212298,-0.0129978,-0.0125646,-0.0212298,-0.00649891,-0.0306171,-0.011698,-0.0245514,-0.01993,-0.0166083,-0.0177637,-0.0205077,-0.0179081,-0.012709,-0.0174748,-0.0137199,-0.0202188,-0.0167527,-0.0161751,-0.0200744,-0.0177637,-0.0206521,-0.0177637,-0.0203633,-0.0138643,-0.0145864,-0.0218075,-0.0231072,-0.021663,-0.0215186,-0.0219519,-0.0206521,-0.0236849,-0.0168972,-0.0242626,-0.0219519,-0.0245514,-0.0189191,-0.0193523,-0.0200744,-0.0190635,-0.0233961,-0.0205077,-0.0231072,-0.0233961,-0.0212298,-0.0207965
