,RMS,Variance,FFT Peak,Class
0,0.151504728,0.02267511,252.873614,wall
1,0.155211162,0.023765948,259.5058301,wall
2,0.153904542,0.023355808,259.2487631,wall
3,0.148651933,0.021777916,248.5056317,wall
4,0.154848729,0.02372009,256.2367395,wall
5,0.144614656,0.020567964,243.2887552,wall
6,0.157383736,0.024449491,262.0334798,wall
7,0.154741089,0.023587999,261.5366692,wall
8,0.152402531,0.022918394,255.4269713,wall
9,0.141888575,0.019790707,239.3323469,wall
10,0.147909103,0.021554895,247.6860564,wall
11,0.158473373,0.024670544,269.5826181,wall
12,0.145895371,0.021006327,243.1148583,wall
13,0.153796711,0.023338485,256.7272043,wall
14,0.152267865,0.022894588,253.6250526,wall
15,0.160544799,0.025456757,267.1589577,wall
16,0.15143917,0.022626122,253.2648601,wall
17,0.139791908,0.019239952,233.7307173,wall
18,0.149061891,0.021947516,247.0887181,wall
19,0.150047523,0.022207469,251.3161969,wall
20,0.144614656,0.020567964,243.2887552,wall
21,0.157383736,0.024449491,262.0334798,wall
22,0.154741089,0.023587999,261.5366692,wall
23,0.152402531,0.022918394,255.4269713,wall
24,0.154741089,0.023587999,261.5366692,wall
25,0.152402531,0.022918394,255.4269713,wall
26,0.141888575,0.019790707,239.3323469,wall
27,0.147909103,0.021554895,247.6860564,wall
28,0.153904542,0.023355808,259.2487631,wall
29,0.148651933,0.021777916,248.5056317,wall
30,0.154848729,0.02372009,256.2367395,wall
31,0.144614656,0.020567964,243.2887552,wall
32,0.151504728,0.02267511,252.873614,wall
33,0.155211162,0.023765948,259.5058301,wall
34,0.153904542,0.023355808,259.2487631,wall
35,0.148651933,0.021777916,248.5056317,wall
36,0.154848729,0.02372009,256.2367395,wall
37,0.144614656,0.020567964,243.2887552,wall
38,0.157383736,0.024449491,262.0334798,wall
39,0.154741089,0.023587999,261.5366692,wall
40,0.152402531,0.022918394,255.4269713,wall
41,0.141888575,0.019790707,239.3323469,wall
42,0.147909103,0.021554895,247.6860564,wall
43,0.158473373,0.024670544,269.5826181,wall
44,0.145895371,0.021006327,243.1148583,wall
45,0.153796711,0.023338485,256.7272043,wall
46,0.152267865,0.022894588,253.6250526,wall
47,0.160544799,0.025456757,267.1589577,wall
48,0.141888575,0.019790707,239.3323469,wall
49,0.147909103,0.021554895,247.6860564,wall
50,0.158473373,0.024670544,269.5826181,wall
51,0.145895371,0.021006327,243.1148583,wall
52,0.153796711,0.023338485,256.7272043,wall
53,0.152267865,0.022894588,253.6250526,wall
54,0.160544799,0.025456757,267.1589577,wall
55,0.15143917,0.022626122,253.2648601,wall
56,0.139791908,0.019239952,233.7307173,wall
57,0.149061891,0.021947516,247.0887181,wall
58,0.150047523,0.022207469,251.3161969,wall
59,0.144614656,0.020567964,243.2887552,wall
60,0.157383736,0.024449491,262.0334798,wall
61,0.154741089,0.023587999,261.5366692,wall
62,0.152267865,0.022894588,253.6250526,wall
63,0.160544799,0.025456757,267.1589577,wall
64,0.15143917,0.022626122,253.2648601,wall
65,0.139791908,0.019239952,233.7307173,wall
66,0.149061891,0.021947516,247.0887181,wall
67,0.150047523,0.022207469,251.3161969,wall
68,0.144614656,0.020567964,243.2887552,wall
69,0.157383736,0.024449491,262.0334798,wall
70,0.154741089,0.023587999,261.5366692,wall
71,0.152402531,0.022918394,255.4269713,wall
72,0.154741089,0.023587999,261.5366692,wall
73,0.152402531,0.022918394,255.4269713,wall
74,0.154848729,0.02372009,256.2367395,wall
75,0.144614656,0.020567964,243.2887552,wall
76,0.157383736,0.024449491,262.0334798,wall
77,0.154741089,0.023587999,261.5366692,wall
78,0.152402531,0.022918394,255.4269713,wall
79,0.141888575,0.019790707,239.3323469,wall
80,0.147909103,0.021554895,247.6860564,wall
81,0.158473373,0.024670544,269.5826181,wall
82,0.155211162,0.023765948,259.5058301,wall
83,0.153904542,0.023355808,259.2487631,wall
84,0.148651933,0.021777916,248.5056317,wall
85,0.154848729,0.02372009,256.2367395,wall
86,0.144614656,0.020567964,243.2887552,wall
87,0.157383736,0.024449491,262.0334798,wall
88,0.151504728,0.02267511,252.873614,wall
89,0.155211162,0.023765948,259.5058301,wall
90,0.153904542,0.023355808,259.2487631,wall
91,0.148651933,0.021777916,248.5056317,wall
92,0.154848729,0.02372009,256.2367395,wall
93,0.144614656,0.020567964,243.2887552,wall
94,0.157383736,0.024449491,262.0334798,wall
95,0.154741089,0.023587999,261.5366692,wall
96,0.152402531,0.022918394,255.4269713,wall
97,0.141888575,0.019790707,239.3323469,wall
98,0.147909103,0.021554895,247.6860564,wall
99,0.158473373,0.024670544,269.5826181,wall
